id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv,income_category,income_scaled,claim_ratio,claim_percentage,policies_per_year,customer_value,high_value_flag,customer_segment
65474,Female,Rural,High School,3,1,1,0,2,C,Platinum,110964,5L-10L,1500000,0.0,0.0,1.0,6000000,1,High
15737,Female,Urban,High School,3,1,8,4647,2,B,Silver,65220,5L-10L,1500000,0.003097998,0.31,0.222222222,27000000,1,Medium
82873,Female,Rural,Bachelor,4,0,1,0,2,A,Platinum,68856,10L+,2000000,0.0,0.0,1.0,8000000,1,Medium
41332,Male,Urban,Bachelor,3,1,2,0,1,A,Platinum,35532,5L-10L,1500000,0.0,0.0,0.333333333,4500000,0,Low
44760,Female,Urban,Bachelor,3,1,7,4214,2,A,Silver,101316,5L-10L,1500000,0.002809331,0.28,0.25,24000000,1,High
23128,Female,Rural,High School,2,1,6,0,1,A,Platinum,67524,2-5L,1000000,0.0,0.0,0.142857143,7000000,0,Medium
36804,Female,Urban,High School,2,0,6,7897,2,A,Platinum,95724,2-5L,1000000,0.007896992,0.79,0.285714286,14000000,0,High
6294,Male,Rural,Bachelor,3,1,6,0,1,A,Platinum,66744,5L-10L,1500000,0.0,0.0,0.142857143,10500000,0,Medium
6317,Female,Rural,High School,2,0,5,6111,1,C,Platinum,33072,2-5L,1000000,0.006110994,0.61,0.166666667,6000000,0,Low
20798,Female,Rural,High School,3,0,8,3721,2,A,Gold,490632,5L-10L,1500000,0.002480665,0.25,0.222222222,27000000,1,High
70658,Male,Urban,High School,3,0,7,8848,2,A,Gold,118440,5L-10L,1500000,0.005898663,0.59,0.25,24000000,1,High
86298,Male,Urban,Bachelor,2,1,5,4117,1,A,Platinum,35112,2-5L,1000000,0.004116996,0.41,0.166666667,6000000,0,Low
21613,Female,Urban,High School,3,0,7,5960,2,C,Platinum,48876,5L-10L,1500000,0.003973331,0.4,0.25,24000000,1,Low
71516,Female,Urban,Bachelor,3,0,1,8797,2,B,Platinum,178488,5L-10L,1500000,0.005864663,0.59,1.0,6000000,1,High
59912,Male,Urban,Bachelor,3,0,1,4397,2,A,Platinum,62772,5L-10L,1500000,0.002931331,0.29,1.0,6000000,1,Medium
78018,Female,Urban,High School,1,0,4,6646,2,A,Platinum,244320,0-2L,500000,0.013291973,1.33,0.4,5000000,0,High
24388,Female,Urban,Bachelor,3,0,6,6765,2,A,Platinum,110424,5L-10L,1500000,0.004509997,0.45,0.285714286,21000000,1,High
40828,Male,Rural,Bachelor,4,0,2,2365,1,C,Platinum,52224,10L+,2000000,0.001182499,0.12,0.333333333,6000000,0,Low
40805,Female,Rural,High School,3,1,4,3263,2,A,Gold,100776,5L-10L,1500000,0.002175332,0.22,0.4,15000000,1,High
34474,Male,Urban,Bachelor,2,1,7,3901,1,A,Platinum,51108,2-5L,1000000,0.003900996,0.39,0.125,8000000,0,Low
21839,Female,Rural,Bachelor,2,0,7,2575,2,B,Platinum,72444,2-5L,1000000,0.002574997,0.26,0.25,16000000,0,Medium
25459,Female,Urban,Bachelor,3,1,4,2087,2,B,Platinum,64332,5L-10L,1500000,0.001391332,0.14,0.4,15000000,1,Medium
21065,Male,Urban,Bachelor,2,0,1,0,2,B,Silver,66084,2-5L,1000000,0.0,0.0,1.0,4000000,0,Medium
67269,Female,Urban,High School,2,1,6,10024,1,A,Gold,70464,2-5L,1000000,0.01002399,1.0,0.142857143,7000000,0,Medium
61931,Male,Urban,High School,3,0,5,0,2,A,Platinum,138108,5L-10L,1500000,0.0,0.0,0.333333333,18000000,1,High
83868,Male,Urban,High School,1,1,4,5592,2,A,Silver,63948,0-2L,500000,0.011183978,1.12,0.4,5000000,0,Medium
12761,Male,Urban,High School,2,1,6,6027,1,A,Platinum,33324,2-5L,1000000,0.006026994,0.6,0.142857143,7000000,0,Low
67841,Female,Rural,High School,3,0,8,5970,2,A,Platinum,475836,5L-10L,1500000,0.003979997,0.4,0.222222222,27000000,1,High
11996,Female,Urban,Bachelor,2,0,6,4046,1,B,Gold,35220,2-5L,1000000,0.004045996,0.4,0.142857143,7000000,0,Low
74316,Female,Urban,Bachelor,3,1,7,7706,2,B,Platinum,81324,5L-10L,1500000,0.00513733,0.51,0.25,24000000,1,Medium
15466,Female,Rural,Bachelor,3,0,6,3200,2,B,Gold,334824,5L-10L,1500000,0.002133332,0.21,0.285714286,21000000,1,High
43607,Male,Urban,High School,3,0,5,3739,1,A,Gold,28404,5L-10L,1500000,0.002492665,0.25,0.166666667,9000000,0,Low
87476,Female,Urban,Bachelor,2,1,2,6772,1,A,Gold,57780,2-5L,1000000,0.006771993,0.68,0.333333333,3000000,0,Low
54068,Male,Urban,Bachelor,2,0,6,0,1,B,Platinum,32208,2-5L,1000000,0.0,0.0,0.142857143,7000000,0,Low
29058,Male,Urban,Bachelor,3,0,5,3273,2,A,Silver,97692,5L-10L,1500000,0.002181999,0.22,0.333333333,18000000,1,High
57846,Male,Urban,Bachelor,2,0,3,6047,2,B,Gold,94440,2-5L,1000000,0.006046994,0.6,0.5,8000000,0,High
66880,Female,Rural,Bachelor,3,0,2,0,1,A,Silver,144720,5L-10L,1500000,0.0,0.0,0.333333333,4500000,0,High
61883,Female,Rural,Bachelor,3,0,6,0,1,A,Platinum,31752,5L-10L,1500000,0.0,0.0,0.142857143,10500000,0,Low
4640,Male,Urban,Bachelor,4,1,6,0,2,A,Silver,65892,10L+,2000000,0.0,0.0,0.285714286,28000000,1,Medium
68629,Male,Urban,Bachelor,3,0,7,3400,1,A,Platinum,29316,5L-10L,1500000,0.002266665,0.23,0.125,12000000,0,Low
70216,Female,Urban,High School,3,1,3,10154,2,C,Gold,116832,5L-10L,1500000,0.006769329,0.68,0.5,12000000,1,High
30875,Female,Urban,High School,3,0,6,3622,2,A,Silver,65112,5L-10L,1500000,0.002414665,0.24,0.285714286,21000000,1,Medium
53305,Male,Urban,Bachelor,2,1,8,4154,2,C,Silver,143064,2-5L,1000000,0.004153996,0.42,0.222222222,18000000,0,High
43042,Male,Urban,High School,4,0,7,4073,2,A,Platinum,61176,10L+,2000000,0.002036499,0.2,0.25,32000000,1,Medium
31670,Female,Urban,High School,4,1,4,4307,2,A,Gold,94692,10L+,2000000,0.002153499,0.22,0.4,20000000,1,High
84012,Female,Urban,High School,3,0,2,3854,2,A,Platinum,109056,5L-10L,1500000,0.002569332,0.26,0.666666667,9000000,1,High
27648,Female,Urban,High School,2,1,6,3808,1,A,Platinum,27732,2-5L,1000000,0.003807996,0.38,0.142857143,7000000,0,Low
7221,Male,Urban,Bachelor,3,1,5,6355,2,B,Silver,67956,5L-10L,1500000,0.004236664,0.42,0.333333333,18000000,1,Medium
85836,Female,Urban,Bachelor,3,1,5,4010,2,A,Platinum,65508,5L-10L,1500000,0.002673332,0.27,0.333333333,18000000,1,Medium
85298,Female,Rural,Bachelor,4,0,4,0,2,B,Platinum,59088,10L+,2000000,0.0,0.0,0.4,20000000,1,Low
52771,Male,Urban,Bachelor,1,1,8,5980,2,A,Platinum,89520,0-2L,500000,0.011959976,1.2,0.222222222,9000000,0,Medium
58212,Male,Urban,Bachelor,3,1,7,4513,2,A,Silver,307884,5L-10L,1500000,0.003008665,0.3,0.25,24000000,1,High
33982,Female,Urban,High School,2,0,3,7657,2,C,Silver,58080,2-5L,1000000,0.007656992,0.77,0.5,8000000,0,Low
27403,Male,Rural,High School,2,1,2,4002,1,A,Silver,32904,2-5L,1000000,0.004001996,0.4,0.333333333,3000000,0,Low
67270,Female,Rural,Bachelor,3,1,7,0,1,B,Platinum,34008,5L-10L,1500000,0.0,0.0,0.125,12000000,0,Low
35292,Female,Urban,Bachelor,3,1,4,6159,2,A,Gold,119376,5L-10L,1500000,0.004105997,0.41,0.4,15000000,1,High
83051,Female,Rural,Bachelor,3,0,4,2204,2,A,Silver,105540,5L-10L,1500000,0.001469332,0.15,0.4,15000000,1,High
55998,Female,Urban,Bachelor,3,1,6,2474,2,A,Gold,96264,5L-10L,1500000,0.001649332,0.16,0.285714286,21000000,1,High
20331,Male,Rural,Bachelor,3,1,6,0,1,B,Silver,34752,5L-10L,1500000,0.0,0.0,0.142857143,10500000,0,Low
2914,Male,Urban,Bachelor,3,1,6,6555,1,A,Platinum,35148,5L-10L,1500000,0.004369997,0.44,0.142857143,10500000,0,Low
35577,Female,Urban,High School,3,1,8,13629,2,C,Silver,393048,5L-10L,1500000,0.009085994,0.91,0.222222222,27000000,1,High
61729,Male,Urban,High School,2,0,5,5100,2,A,Silver,87204,2-5L,1000000,0.005099995,0.51,0.333333333,12000000,0,Medium
87510,Male,Urban,Bachelor,2,0,5,5563,2,B,Platinum,62100,2-5L,1000000,0.005562994,0.56,0.333333333,12000000,0,Medium
40882,Female,Urban,High School,3,0,6,3779,2,A,Platinum,100188,5L-10L,1500000,0.002519332,0.25,0.285714286,21000000,1,High
14330,Male,Urban,Others,2,0,7,6009,1,B,Silver,35376,2-5L,1000000,0.006008994,0.6,0.125,8000000,0,Low
78086,Female,Urban,High School,4,1,6,12181,2,A,Platinum,67428,10L+,2000000,0.006090497,0.61,0.285714286,28000000,1,Medium
28076,Male,Urban,High School,3,0,6,3971,2,A,Silver,57264,5L-10L,1500000,0.002647332,0.26,0.285714286,21000000,1,Low
34212,Female,Urban,High School,4,1,1,0,2,A,Platinum,98364,10L+,2000000,0.0,0.0,1.0,8000000,1,High
56286,Female,Rural,High School,3,1,5,5073,2,A,Gold,65664,5L-10L,1500000,0.003381998,0.34,0.333333333,18000000,1,Medium
42190,Male,Urban,High School,3,0,5,4336,1,A,Platinum,60012,5L-10L,1500000,0.002890665,0.29,0.166666667,9000000,0,Low
20902,Female,Urban,Others,3,0,7,5660,1,B,Platinum,33816,5L-10L,1500000,0.003773331,0.38,0.125,12000000,0,Low
36551,Male,Urban,High School,4,1,6,5404,1,A,Gold,55308,10L+,2000000,0.002701999,0.27,0.142857143,14000000,0,Low
20295,Male,Urban,Bachelor,3,0,8,5275,2,C,Silver,67764,5L-10L,1500000,0.003516664,0.35,0.222222222,27000000,1,Medium
62314,Female,Urban,Bachelor,2,0,5,4584,2,B,Silver,100860,2-5L,1000000,0.004583995,0.46,0.333333333,12000000,0,High
14043,Male,Urban,Bachelor,2,1,6,3743,1,C,Silver,154596,2-5L,1000000,0.003742996,0.37,0.142857143,7000000,0,High
58325,Female,Rural,High School,3,1,4,2942,2,B,Platinum,143148,5L-10L,1500000,0.001961332,0.2,0.4,15000000,1,High
21143,Female,Rural,High School,2,1,2,0,2,A,Platinum,35040,2-5L,1000000,0.0,0.0,0.666666667,6000000,0,Low
80366,Female,Rural,Bachelor,4,1,1,0,1,B,Platinum,32784,10L+,2000000,0.0,0.0,0.5,4000000,0,Low
279,Male,Urban,High School,2,0,5,7505,1,B,Platinum,65712,2-5L,1000000,0.007504992,0.75,0.166666667,6000000,0,Medium
77722,Female,Rural,Bachelor,3,1,7,4431,2,B,Platinum,68388,5L-10L,1500000,0.002953998,0.3,0.25,24000000,1,Medium
5155,Male,Urban,High School,3,0,6,5793,2,B,Platinum,339504,5L-10L,1500000,0.003861997,0.39,0.285714286,21000000,1,High
56297,Female,Urban,Bachelor,3,0,5,5596,2,C,Gold,90960,5L-10L,1500000,0.003730664,0.37,0.333333333,18000000,1,Medium
66791,Female,Urban,Bachelor,4,0,4,10074,2,A,Silver,145836,10L+,2000000,0.005036997,0.5,0.4,20000000,1,High
84653,Male,Urban,High School,3,0,5,10959,2,A,Platinum,94236,5L-10L,1500000,0.007305995,0.73,0.333333333,18000000,1,High
72332,Male,Urban,Others,2,1,7,4126,1,B,Platinum,33684,2-5L,1000000,0.004125996,0.41,0.125,8000000,0,Low
69840,Female,Urban,High School,3,1,2,4596,2,A,Platinum,59040,5L-10L,1500000,0.003063998,0.31,0.666666667,9000000,1,Low
74121,Male,Urban,Bachelor,3,1,1,4242,1,A,Platinum,60312,5L-10L,1500000,0.002827998,0.28,0.5,3000000,0,Medium
72447,Female,Urban,Bachelor,4,1,4,2799,2,A,Platinum,58596,10L+,2000000,0.001399499,0.14,0.4,20000000,1,Low
25325,Female,Rural,Bachelor,2,1,4,0,1,B,Silver,68436,2-5L,1000000,0.0,0.0,0.2,5000000,0,Medium
85696,Male,Urban,Bachelor,3,1,8,0,1,B,Platinum,62076,5L-10L,1500000,0.0,0.0,0.111111111,13500000,0,Medium
74727,Female,Urban,High School,3,0,2,5047,2,A,Gold,55764,5L-10L,1500000,0.003364664,0.34,0.666666667,9000000,1,Low
42251,Female,Urban,Bachelor,3,1,4,4013,2,A,Gold,116160,5L-10L,1500000,0.002675332,0.27,0.4,15000000,1,High
70384,Male,Urban,High School,3,0,3,9182,2,A,Silver,199860,5L-10L,1500000,0.006121329,0.61,0.5,12000000,1,High
68298,Male,Urban,High School,2,0,7,6692,2,B,Platinum,67536,2-5L,1000000,0.006691993,0.67,0.25,16000000,0,Medium
47246,Female,Urban,High School,3,0,2,6113,1,A,Platinum,59064,5L-10L,1500000,0.004075331,0.41,0.333333333,4500000,0,Low
75015,Male,Urban,Others,3,1,1,6119,1,A,Platinum,47244,5L-10L,1500000,0.004079331,0.41,0.5,3000000,0,Low
22362,Female,Rural,Bachelor,3,0,6,2802,2,B,Silver,36552,5L-10L,1500000,0.001867999,0.19,0.285714286,21000000,1,Low
68723,Male,Urban,High School,3,1,5,3628,2,A,Platinum,109224,5L-10L,1500000,0.002418665,0.24,0.333333333,18000000,1,High
44095,Female,Urban,High School,4,0,4,7626,2,B,Silver,258204,10L+,2000000,0.003812998,0.38,0.4,20000000,1,High
921,Female,Urban,High School,3,0,6,7173,2,A,Silver,67524,5L-10L,1500000,0.004781997,0.48,0.285714286,21000000,1,Medium
47713,Male,Urban,Others,3,1,8,5935,2,B,Silver,93708,5L-10L,1500000,0.003956664,0.4,0.222222222,27000000,1,High
24927,Male,Urban,High School,3,1,6,6476,2,A,Platinum,159732,5L-10L,1500000,0.00431733,0.43,0.285714286,21000000,1,High
71440,Female,Urban,High School,3,0,2,11400,2,A,Platinum,61476,5L-10L,1500000,0.007599995,0.76,0.666666667,9000000,1,Medium
36729,Male,Urban,Bachelor,2,0,3,6296,1,A,Platinum,58332,2-5L,1000000,0.006295994,0.63,0.25,4000000,0,Low
39628,Male,Urban,Bachelor,1,1,4,3920,2,A,Platinum,59724,0-2L,500000,0.007839984,0.78,0.4,5000000,0,Low
56123,Female,Urban,Bachelor,1,0,4,5726,2,A,Silver,120120,0-2L,500000,0.011451977,1.15,0.4,5000000,0,High
33855,Male,Urban,High School,3,0,1,3567,1,A,Platinum,65028,5L-10L,1500000,0.002377998,0.24,0.5,3000000,0,Medium
29523,Male,Rural,Bachelor,3,0,5,0,1,A,Platinum,63984,5L-10L,1500000,0.0,0.0,0.166666667,9000000,0,Medium
54701,Male,Rural,Bachelor,3,0,2,4834,2,A,Platinum,63468,5L-10L,1500000,0.003222665,0.32,0.666666667,9000000,1,Medium
55717,Female,Urban,High School,4,1,2,2518,1,A,Platinum,39276,10L+,2000000,0.001258999,0.13,0.333333333,6000000,0,Low
66981,Female,Rural,Bachelor,3,0,4,0,2,A,Silver,62808,5L-10L,1500000,0.0,0.0,0.4,15000000,1,Medium
35297,Female,Rural,High School,3,1,5,0,1,C,Platinum,49956,5L-10L,1500000,0.0,0.0,0.166666667,9000000,0,Low
57386,Male,Urban,Bachelor,1,1,4,5722,1,A,Gold,66576,0-2L,500000,0.011443977,1.14,0.2,2500000,0,Medium
30963,Female,Rural,Bachelor,3,0,6,3357,2,B,Platinum,58128,5L-10L,1500000,0.002237999,0.22,0.285714286,21000000,1,Low
20218,Female,Rural,High School,3,1,4,6076,1,A,Platinum,28776,5L-10L,1500000,0.004050664,0.41,0.2,7500000,0,Low
79408,Female,Urban,Bachelor,3,0,8,9064,1,A,Silver,61740,5L-10L,1500000,0.006042663,0.6,0.111111111,13500000,0,Medium
56143,Male,Rural,Bachelor,3,1,2,3360,1,C,Platinum,34428,5L-10L,1500000,0.002239999,0.22,0.333333333,4500000,0,Low
7927,Female,Rural,Bachelor,3,1,6,2218,2,B,Platinum,135132,5L-10L,1500000,0.001478666,0.15,0.285714286,21000000,1,High
46907,Female,Urban,Bachelor,2,0,5,4060,2,B,Platinum,77460,2-5L,1000000,0.004059996,0.41,0.333333333,12000000,0,Medium
86996,Male,Urban,Bachelor,4,1,7,22196,1,A,Platinum,31020,10L+,2000000,0.011097994,1.11,0.125,16000000,0,Low
5810,Male,Rural,Bachelor,3,0,8,2854,1,A,Platinum,29292,5L-10L,1500000,0.001902665,0.19,0.111111111,13500000,0,Low
26934,Male,Rural,High School,3,1,6,0,2,C,Platinum,61692,5L-10L,1500000,0.0,0.0,0.285714286,21000000,1,Medium
36224,Male,Rural,Bachelor,3,1,3,0,2,C,Platinum,59424,5L-10L,1500000,0.0,0.0,0.5,12000000,1,Low
54899,Female,Urban,High School,3,0,2,0,2,C,Platinum,168528,5L-10L,1500000,0.0,0.0,0.666666667,9000000,1,High
70988,Male,Rural,High School,4,0,6,3577,2,A,Platinum,60288,10L+,2000000,0.001788499,0.18,0.285714286,28000000,1,Medium
83900,Male,Urban,High School,3,0,6,3112,2,A,Platinum,151968,5L-10L,1500000,0.002074665,0.21,0.285714286,21000000,1,High
41650,Male,Urban,High School,3,0,7,4632,2,A,Silver,98952,5L-10L,1500000,0.003087998,0.31,0.25,24000000,1,High
10592,Male,Urban,High School,3,1,8,5148,1,A,Platinum,95244,5L-10L,1500000,0.003431998,0.34,0.111111111,13500000,0,High
46991,Female,Urban,Bachelor,3,1,1,6365,1,A,Silver,45312,5L-10L,1500000,0.004243331,0.42,0.5,3000000,0,Low
4644,Female,Rural,High School,3,0,5,0,2,A,Gold,91392,5L-10L,1500000,0.0,0.0,0.333333333,18000000,1,Medium
50321,Female,Urban,Bachelor,2,1,8,5877,2,B,Platinum,99972,2-5L,1000000,0.005876994,0.59,0.222222222,18000000,0,High
76859,Male,Urban,High School,4,0,1,4103,1,A,Silver,28944,10L+,2000000,0.002051499,0.21,0.5,4000000,0,Low
18904,Female,Urban,Bachelor,3,0,2,6015,2,A,Platinum,264888,5L-10L,1500000,0.004009997,0.4,0.666666667,9000000,1,High
80242,Female,Rural,Bachelor,3,1,3,0,2,A,Silver,275628,5L-10L,1500000,0.0,0.0,0.5,12000000,1,High
28439,Male,Urban,High School,3,0,3,4201,2,A,Platinum,329976,5L-10L,1500000,0.002800665,0.28,0.5,12000000,1,High
80443,Male,Urban,Bachelor,3,1,3,2149,1,A,Gold,33120,5L-10L,1500000,0.001432666,0.14,0.25,6000000,0,Low
67878,Male,Rural,High School,3,1,6,0,2,B,Platinum,68388,5L-10L,1500000,0.0,0.0,0.285714286,21000000,1,Medium
56188,Male,Rural,Bachelor,2,1,3,0,2,B,Gold,68592,2-5L,1000000,0.0,0.0,0.5,8000000,0,Medium
10759,Female,Rural,Bachelor,3,0,5,2751,2,B,Silver,454536,5L-10L,1500000,0.001833999,0.18,0.333333333,18000000,1,High
68566,Male,Urban,High School,3,1,2,6674,2,A,Gold,61224,5L-10L,1500000,0.00444933,0.44,0.666666667,9000000,1,Medium
49846,Female,Rural,High School,3,0,1,0,2,A,Silver,65844,5L-10L,1500000,0.0,0.0,1.0,6000000,1,Medium
6852,Male,Urban,High School,3,1,5,5529,2,A,Silver,100380,5L-10L,1500000,0.003685998,0.37,0.333333333,18000000,1,High
4163,Male,Urban,Others,4,0,2,6051,2,A,Platinum,63696,10L+,2000000,0.003025498,0.3,0.666666667,12000000,1,Medium
79589,Male,Urban,Bachelor,2,0,2,4589,2,A,Platinum,63216,2-5L,1000000,0.004588995,0.46,0.666666667,6000000,0,Medium
1739,Female,Urban,High School,2,0,7,5532,1,B,Gold,103200,2-5L,1000000,0.005531994,0.55,0.125,8000000,0,High
53915,Female,Urban,Bachelor,2,0,6,7771,2,A,Platinum,60396,2-5L,1000000,0.007770992,0.78,0.285714286,14000000,0,Medium
34010,Male,Urban,Bachelor,3,1,8,4969,2,A,Platinum,52740,5L-10L,1500000,0.003312664,0.33,0.222222222,27000000,1,Low
13239,Male,Rural,Bachelor,3,0,7,0,2,A,Platinum,122760,5L-10L,1500000,0.0,0.0,0.25,24000000,1,High
51097,Male,Urban,Bachelor,2,1,5,11456,2,B,Platinum,306468,2-5L,1000000,0.011455989,1.15,0.333333333,12000000,0,High
79529,Female,Urban,Bachelor,3,1,8,3982,2,A,Platinum,62124,5L-10L,1500000,0.002654665,0.27,0.222222222,27000000,1,Medium
8783,Female,Rural,High School,4,1,6,0,1,A,Gold,36132,10L+,2000000,0.0,0.0,0.142857143,14000000,0,Low
16114,Female,Urban,Bachelor,3,1,6,2448,2,A,Gold,158652,5L-10L,1500000,0.001631999,0.16,0.285714286,21000000,1,High
83496,Male,Urban,Bachelor,3,1,6,5736,1,A,Silver,99420,5L-10L,1500000,0.003823997,0.38,0.142857143,10500000,0,High
25256,Female,Rural,High School,3,0,7,0,2,A,Platinum,102384,5L-10L,1500000,0.0,0.0,0.25,24000000,1,High
59297,Male,Urban,Bachelor,3,1,4,6286,2,A,Platinum,114312,5L-10L,1500000,0.004190664,0.42,0.4,15000000,1,High
22193,Male,Urban,High School,3,1,6,10296,1,A,Platinum,57996,5L-10L,1500000,0.006863995,0.69,0.142857143,10500000,0,Low
31268,Male,Urban,Bachelor,3,1,4,0,2,A,Platinum,181056,5L-10L,1500000,0.0,0.0,0.4,15000000,1,High
18234,Male,Urban,High School,3,0,1,2818,2,C,Silver,96684,5L-10L,1500000,0.001878665,0.19,1.0,6000000,1,High
3862,Male,Rural,Bachelor,3,0,2,3095,2,C,Platinum,172884,5L-10L,1500000,0.002063332,0.21,0.666666667,9000000,1,High
